input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
4.175,0.0002814750025614225,0.021818181818181816,0.20000000000000018,4.175,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.2,0.00028350000257985,0.021818181818181816,0.20000000000000018,4.2,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.225,0.00028552500259827746,0.021818181818181816,0.20000000000000018,4.225,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.25,0.000287550002616705,0.021818181818181816,0.20000000000000018,4.25,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.275,0.00028957500263513254,0.021818181818181816,0.20000000000000018,4.275,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.3,0.00029160000265356,0.021818181818181816,0.20000000000000018,4.3,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.325,0.0002936250026719875,0.021818181818181816,0.20000000000000018,4.325,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.35,0.00029565000269041495,0.021818181818181816,0.20000000000000018,4.35,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.375,0.0002976750027088425,0.021818181818181816,0.20000000000000018,4.375,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.4,0.00029970000272727004,0.021818181818181816,0.20000000000000018,4.4,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.425,0.00030172500274569747,0.021818181818181816,0.20000000000000018,4.425,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.45,0.000303750002764125,0.021818181818181816,0.20000000000000018,4.45,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.475,0.00030577500278255245,0.021818181818181816,0.20000000000000018,4.475,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.5,0.00030780000280098,0.021818181818181816,0.20000000000000018,4.5,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.525,0.00030982500281940753,0.021818181818181816,0.20000000000000018,4.525,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.55,0.00031185000283783497,0.021818181818181816,0.20000000000000018,4.55,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.575,0.0003138750028562625,0.021818181818181816,0.20000000000000018,4.575,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.6,0.00031590000287468994,0.021818181818181816,0.20000000000000018,4.6,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.625,0.0003179250028931175,0.021818181818181816,0.20000000000000018,4.625,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.65,0.000319950002911545,0.021818181818181816,0.20000000000000018,4.65,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.675,0.00032197500292997246,0.021818181818181816,0.20000000000000018,4.675,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.7,0.0003240000029484,0.021818181818181816,0.20000000000000018,4.7,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.725,0.00032602500296682744,0.021818181818181816,0.20000000000000018,4.725,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.75,0.000328050002985255,0.021818181818181816,0.20000000000000018,4.75,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.775,0.0003300750030036825,0.021818181818181816,0.20000000000000018,4.775,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.8,0.00033210000302210996,0.021818181818181816,0.20000000000000018,4.8,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.825,0.0003341250030405375,0.021818181818181816,0.20000000000000018,4.825,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.85,0.000336150003058965,0.021818181818181816,0.20000000000000018,4.85,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.875,0.0003381750030773925,0.021818181818181816,0.20000000000000018,4.875,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.9,0.00034020000309582,0.021818181818181816,0.20000000000000018,4.9,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.925,0.0003422250031142475,0.021818181818181816,0.20000000000000018,4.925,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.95,0.000344250003132675,0.021818181818181816,0.20000000000000018,4.95,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.975,0.0003462750031511025,0.021818181818181816,0.20000000000000018,4.975,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
5,0.00034830000316952997,0.021818181818181816,0.20000000000000018,5,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
